5336,4851 0,894914385696001
5336,906 0,886443673092391
5337,3269 0,882004044714429
5337,748 0,87494325734167
5338,1691 0,856755880658211
5338,5903 0,823209166827666
5339,0116 0,783037466034467
5339,433 0,760803448441289
5339,8545 0,746491747767259
5340,2761 0,740980957254345
5340,6978 0,754959250641333
5341,1195 0,794259694643585
5341,5413 0,820149667391845
5341,9633 0,847290112394866
5342,3853 0,860801750170081
5342,8074 0,878571140767747
5343,2295 0,875860368432698
5343,6518 0,868772070839104
5344,0742 0,857503031874747
5344,4966 0,862559763972704
5344,9191 0,845257482979239
5345,3417 0,837769237433497
5345,7644 0,836350275110397
5346,1872 0,84446416073579
5346,6101 0,843440411040941
5347,0331 0,841546157070279
5347,4561 0,823122754362625
5347,8793 0,81031527357056
5348,3025 0,798998512432004
5348,7258 0,810068757601606
5349,1492 0,813028045669162
5349,5727 0,838235250108654
5349,9962 0,854338645295219
5350,4199 0,88548947777801
5350,8436 0,893369033541422
5351,2674 0,908777709385291
5351,6914 0,903535647869308
5352,1154 0,896961952411245
5352,5395 0,884962885708249
5352,9636 0,888199495254871
5353,3879 0,889811083114503
5353,8122 0,914257731787098
5354,2367 0,921096362751174
5354,6612 0,938736566359581
5355,0858 0,939061039830666
5355,5105 0,947874604989958
5355,9353 0,958881468774907
5356,3601 0,95640141256833
5356,7851 0,944819627628626
5357,2101 0,951233024382293
5357,6353 0,942413910044623
5358,0605 0,949595479455291
5358,4858 0,942147942925967
5358,9112 0,944942077609565
5359,3366 0,938426711190223
5359,7622 0,925363555009913
5360,1878 0,924660536167227
5360,6136 0,91558677432561
5361,0394 0,900350129579917
5361,4653 0,893461609294713
5361,8913 0,881813370556454
5362,3174 0,879994595405284
5362,7435 0,880188905898289
5363,1698 0,862206246622478
5363,5961 0,847697654543999
5364,0226 0,842571009286417
5364,4491 0,836594725580636
5364,8757 0,823669992035188
5365,3024 0,842713747075979
5365,7291 0,826493184380868
5366,156 0,837456668982884
5366,5829 0,838654918764625
5367,01 0,841367137452882
5367,4371 0,826947548582969
5367,8643 0,830134093508639
5368,2916 0,81118901423851
5368,719 0,793394741226726
5369,1464 0,761959144548377
5369,574 0,740081067064708
5370,0016 0,69743507861885
5370,4293 0,690187775353113
5370,8572 0,694113581192135
5371,285 0,718459842512003
5371,713 0,75027233201842
5372,1411 0,798709767377644
5372,5693 0,826606982965843
5372,9975 0,867407779087768
5373,4258 0,880304190651257
5373,8542 0,89783798214954
5374,2827 0,908197483909558
5374,7113 0,9157724033714
5375,14 0,924208366519697
5375,5688 0,916433517037659
5375,9976 0,908854577020911
5376,4266 0,89182556962462
5376,8556 0,889980040799048
5377,2847 0,887371463229667
5377,7139 0,896448273513182
5378,1432 0,898243596045273
5378,5725 0,903133691586617
5379,002 0,900535924850243
5379,4315 0,898755146751962
5379,8611 0,89891352069275
5380,2908 0,900263928305368
5380,7206 0,88902496933391
5381,1505 0,877740096100015
5381,5805 0,858398981936786
5382,0106 0,84549141534003
5382,4407 0,825636727843968
5382,8709 0,833714382054358
5383,3013 0,836641724437143
5383,7317 0,860809170602194
5384,1621 0,869864599370328
5384,5927 0,889991920033375
5385,0234 0,906892273590833
5385,4541 0,895207708607491
5385,885 0,900669695340465
5386,3159 0,891184999218803
5386,7469 0,886902658449997
5387,178 0,890234348405342
5387,6092 0,875859740279896
5388,0404 0,868578818521281
5388,4718 0,845959128572069
5388,9032 0,848638013990642
5389,3348 0,832481934646368
5389,7664 0,823742355276464
5390,1981 0,825658642911164
5390,6299 0,82343557346519
5391,0617 0,811624207005645
5391,4937 0,806258766801452
5391,9257 0,795244898974649
5392,3579 0,800316583420117
5392,7901 0,792927175716916
5393,2224 0,804027499289977
5393,6548 0,789461614997508
5394,0872 0,805705885575664
5394,5198 0,813063123684206
5394,9525 0,819747622348256
5395,3852 0,804815084529985
5395,818 0,77351447125303
5396,2509 0,743700394985955
5396,6839 0,735550505787052
5397,117 0,735809005350426
5397,5502 0,759114266223297
5397,9834 0,785495582177278
5398,4167 0,810528405344481
5398,8502 0,828013606850626
5399,2837 0,827035386947247
5399,7173 0,83425463541634
5400,151 0,827075846644849
5400,5847 0,837668708453881
5401,0186 0,854844548344586
5401,4525 0,860683213082343
5401,8866 0,86299103211389
5402,3207 0,843624430561181
5402,7549 0,817696749667556
5403,1892 0,777550317465467
5403,6235 0,740998116319619
5404,058 0,709457404680441
5404,4926 0,681299586349516
5404,9272 0,672126805612065
5405,3619 0,681195932857333
5405,7967 0,704221070257428
5406,2316 0,739371466881495
5406,6666 0,766930951294422
5407,1016 0,803084886969452
5407,5368 0,820965794212652
5407,972 0,810658693092663
5408,4074 0,805632562979697
5408,8428 0,783539708801534
5409,2783 0,75962199671739
5409,7138 0,755963940530985
5410,1495 0,758782858005799
5410,5853 0,791930929828024
5411,0211 0,811717386133698
5411,457 0,845060380540941
5411,8931 0,858933216691919
5412,3292 0,876243792676214
5412,7653 0,8746327254981
5413,2016 0,876226962712589
5413,638 0,856188852089354
5414,0744 0,84441131119308
5414,5109 0,836861004283712
5414,9476 0,839748661978907
5415,3843 0,826462107497621
5415,8211 0,868913585238814
5416,2579 0,892668007637972
5416,6949 0,914058350264426
5417,1319 0,913167077446574
5417,5691 0,908788586736778
5418,0063 0,916833580870039
